Confidence Level,Date,Time,Locale,Governorate,Theater,Lat,Lon,Offensive,Delivery,Munition Type,Barrel Bomb Version,Munition Imagery,Chemical Agent,Killed,Injured,Perpetrator,SA,SA 2,JIM,COI,OPCW,SAMS,WHMD,SNHR,LCC,VDC,CAR,Trusted Source,Bellingcat
2,2015-10-31,11:00:00,Talbisah,Homs,Homs,34.833601,36.735749,NA,Ground,Other,NA,No,NA,3,32,Syrian Government,TAL311015,NA,NA,NA,NA,NA,NA,Closed,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/159680#.XmJbvkBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/159681#.XmJb1kBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/159682#.XmJb6EBFzVg,NA,NA,NA
1,2015-11-16,NA,Hirista,Reef Damascus,Wider Damascus,33.566963,36.36672,NA,NA,NA,NA,No,Chlorine,2,2,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/161388#.XmJb_UBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/161657#.XmJcEkBFzVg,NA,NA,NA
1,2015-12-20,NA,Tay Ma'lah,Homs,Homs,34.802222,36.706944,NA,Air,Barrel Bomb,Version 1,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNS0xMlxcXCIsXFxcImVuZF95ZWFyXFxcIjpcXFwiMjAxNVxcXCJ9XCJ9In0%3D,NA,NA,NA,NA
3,2015-12-22,19:30:00,Mu'addamiyat ash Shaykh,Reef Damascus,Wider Damascus,33.461233,36.193042,NA,NA,"""Missile""",NA,Yes,Chlorine,10,30,Syrian Government,MOA221215,NA,NA,NA,NA,NA,NA,Closed,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/164253#.XmJcL0BFzVg,NA,NA,NA
1,2016-01-10,NA,Aleppo (M10 Hospital),Aleppo,Aleppo,36.200000,37.150000,NA,NA,Barrel Bomb,Version 1,No,Chlorine,2,13,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bellingcat.com/news/mena/2016/11/09/fact-checking-russias-claim-didnt-bomb-another-hospital-syria/
1,2016-01-31,NA,Mu'addamiyat ash Shaykh,Reef Damascus,Wider Damascus,33.461233,36.193042,NA,NA,NA,NA,No,Chlorine,NA,97,Syrian Government,MOA310116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2016-02-29,NA,'Irbin,Reef Damascus,Wider Damascus,33.538893,36.365787,NA,NA,"""Grenade""",NA,No,NA,0,2,Syrian Government,NA,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA
3,2016-04-03,NA,Al Qabun,Damascus,Wider Damascus,33.550171,36.349935,NA,NA,NA,NA,No,NA,2,14,Syrian Government,QAB030416,NA,NA,NA,NA,https://twitter.com/MhdKatoub/status/716748605365829632,https://twitter.com/SyriaCivilDef/status/588831744717094913; https://twitter.com/SyriaCivilDef/status/588842096276176896; https://twitter.com/SyriaCivilDef/status/588842516713185281,NA,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/169362#.XmJcykBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/169363#.XmJc5kBFzVg,NA,NA,NA
3,2016-04-05,NA,Sheikh Maqsood,Aleppo,Aleppo,36.237072,37.150655,NA,Ground,NA,NA,No,Chlorine,0,4,Syrian Government,NA,NA,NA,http://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/a_hrc_33_55.pdf; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,Closed,NA,NA,NA,NA,NA,NA,NA
1,2016-04-06,NA,Deir Ez Zor,Deir Ezzor,East,35.286030,40.183850,NA,NA,NA,NA,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA
1,2016-04-07,NA,Deir Ez Zor,Deir Ezzor,East,35.286030,40.183850,NA,NA,NA,NA,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed,NA
2,2016-04-18,NA,Amiqa,Hama,Northwest,35.572246,36.387148,NA,NA,Barrel Bomb,Version 1,No,Chlorine,NA,NA,Syrian Government,AMQ180416,NA,NA,NA,NA,NA,NA,NA,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wNFxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDRcXFwifVwifSJ9,NA,NA,NA,NA
1,2016-04-24,NA,Jisr ash-Shugur,Idlib,Northwest,35.8125,36.32111111,NA,Ground,"""Missile""",NA,No,Chlorine,0,4,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wNFxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDRcXFwifVwifSJ9,NA,NA,NA,NA
1,2016-06-09,NA,Sukkari,Aleppo,Aleppo,36.200000,37.150000,Battle of Aleppo,NA,NA,NA,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA,NA,NA
1,2016-06-17,NA,Aleppo,Aleppo,Aleppo,36.200000,37.150000,Battle of Aleppo,NA,NA,NA,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,NA,https://twitter.com/SyriaCivilDef/status/611075315994071040,NA,NA,NA,NA,NA,NA
1,2016-06-29,NA,Al-Mallah,Aleppo,Aleppo,36.271605,37.130496,Battle of Aleppo,Air,Barrel Bomb,Version 2,No,Chlorine,NA,NA,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2016-06-29,NA,Jobar,Damascus,Wider Damascus,33.528100,36.329471,NA,NA,NA,NA,No,Chlorine,4,6,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/173505#.XmJdW0BFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/173506#.XmJddkBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/173507#.XmJdiEBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/173508#.XmJdmUBFzVg,NA,NA,NA
